Word,Reading,Meaning
荒れ,あれ,"stormy weather, tempest, chaps (of skin)"
荒らす,あらす,"to lay waste, to devastate, to damage; to invade, to break into; to troll (e.g. web forums), to spam"
荒廃,こうはい,ruin
荒らげる,"あららげる, あらげる",to raise (e.g. voice)
荒波,あらなみ,"stormy seas, raging waves"
荒野,"こうや, あれの, あらの","wasteland, wilderness, deserted land, prairie, vast plain, wilds, desert, wild land"
荒っぽい,あらっぽい,"rough, rude"
荒療治,あらりょうじ,drastic measure or treatment
強硬,きょうこう,"firm, vigorous, unbending, unyielding, strong, stubborn"
硬派,こうは,"tough elements, hard-liners, stalwart(s)"
硬直,こうちょく,"stiffening, rigidity, rigor, stiffness, ossification, petrification"
硬貨,こうか,coin
肝硬変,かんこうへん,cirrhosis of the liver
硬さ,かたさ,"firmness, hardness, stiffness, honesty"
動脈硬化,どうみゃくこうか,"arteriosclerosis, hardening of the arteries"
硬式,こうしき,"hardball (tennis, baseball)"
硬軟,こうなん,hardness
硬い,かたい,"hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy"
埋める,うめる,"to bury (e.g. in the ground); to fill up (e.g. audience fills a hall), to fill (a seat, a vacant position); to plug gaps, to stop a gap; to make amends, to cover up for something; to put cold water in a bath; to cover, to scatter something over"
埋蔵,まいぞう,"buried property, treasure trove"
埋葬,まいそう,burial
穴埋め,あなうめ,"filling in gaps, filling in blanks (in a form, etc.)"
埋め立て地,うめたてち,reclaimed land
埋め立て,うめたて,"filling up, reclamation"
埋まる,"うずまる, うまる","to be buried, to be surrounded, to overflow, to be filled"
生き埋め,いきうめ,burying alive
埋設,まいせつ,putting (laying) underground
埋め立てる,うめたてる,"to reclaim, to fill up"
袋,ふくろ,"bag, sack; skin of an orange (and other like fruits); dead end; plot of land surrounded by water"
紙袋,かみぶくろ,paper bag
手袋,てぶくろ,"glove, mitten, mitt"
袋小路,ふくろこうじ,"blind alley, cul-de-sac, impasse, dead-end (street)"
胃袋,いぶくろ,stomach
寝袋,ねぶくろ,sleeping bag
足袋,たび,"tabi, Japanese socks (with split toe)"
地下足袋,じかたび,"work tabi, split-toed heavy cloth shoes with rubber soles"
知恵袋,ちえぶくろ,"the brain, one's brains"
堪忍袋,かんにんぶくろ,one's store of patience
吹雪,ふぶき,"snow storm, blizzard"
吹かす,ふかす,"to smoke (a cigarette); to behave as ...; to accelerate, to rev up"
息吹,いぶき,breath
吹き飛ばす,ふきとばす,"to blow off, to brush away, to talk big"
吹奏楽,すいそうがく,wind (instrument) music
吹き替え,ふきかえ,"dubbing, stand-in, dummy"
吹っ切れる,ふっきれる,"to break through, to become unbound by, to ooze out"
吹き飛ぶ,ふきとぶ,"to be blown off, to blow off"
吹っ飛ぶ,ふっとぶ,"to blow off, to be blown off"
吹き荒れる,ふきあれる,"to blow violently, to sweep over, to devastate"
封,ふう,seal
完封,かんぷう,"complete blockade (seal), baseball shutout"
封鎖,ふうさ,blockade; freezing (funds)
封筒,ふうとう,envelope
封じる,ふうじる,"to seal (letter); to prevent, to forbid, to block"
封書,ふうしょ,sealed letter
封じ手,ふうじて,a sealed move
経済封鎖,けいざいふうさ,"economic blockade, embargo"
同封,どうふう,enclosure (e.g. in a letter)
封印,ふういん,"seal, stamp"
娘,むすめ,"(my) daughter; girl (i.e. a young, unmarried woman)"
一人娘,ひとりむすめ,an only daughter
娘婿,むすめむこ,adopted son-in-law
孫娘,まごむすめ,granddaughter
娘,じょう,"unmarried woman; (after a name) Miss; (after a line of work) -ess, -ette"
娘さん,むすめさん,daughter
まま娘,ままむすめ,stepdaughter
メガネっ娘,"めがねっこ, メガネっこ","girl (usu. attractive) with glasses, glasses-wearing girl"
めがねっ娘,"めがねっこ, メガネっこ","girl (usu. attractive) with glasses, glasses-wearing girl"
愛娘,まなむすめ,one's beloved daughter
普賢,ふげん,"Samantabhadra (bodhisattva), Universal Compassion"
賢人,けんじん,wise man
賢明,けんめい,"wisdom, intelligence, prudence"
賢い,かしこい,"wise, clever, smart"
賢所,"かしこどころ, けんしょ",a palace sanctuary
賢,けん,"intelligence, genius, scholarship, virtue"
賢,"かしこ, かしく","yours sincerely (used to sign off on letters), respectfully yours"
賢母,けんぼ,wise mother
ずる賢い,ずるがしこい,sly
賢しい,さかしい,"sagacious, intelligent"
腕,うで,arm; skill
左腕,"さわん, ひだりうで",left arm; left-handed (baseball pitcher)
手腕,しゅわん,ability
右腕,"みぎうで, うわん",right arm
腕時計,うでどけい,wristwatch
腕前,うでまえ,"ability, skill, facility"
両腕,"りょううで, もろうで",both arms
腕力,わんりょく,"physical strength, brute strength, arm strength"
鉄腕,てつわん,strong arm
片腕,かたうで,one arm; right-hand man
床,とこ,"bed, bedding; sickbed; alcove; riverbed; seedbed; straw ""core"" of a tatami mat; floor"
臨床,りんしょう,"clinical (e.g. pathology, physiology)"
温床,おんしょう,"hotbed, breeding ground"
病床,びょうしょう,sickbed
床下,ゆかした,under the floor
床の間,とこのま,alcove
起床,きしょう,"rising, getting out of bed"
床上,ゆかうえ,"on a floor, above floor level"
寝床,ねどこ,bed
鉱床,こうしょう,ore deposit
歌詞,かし,"song lyrics, words of a song, libretto"
作詞,さくし,(writing) song lyrics
代名詞,だいめいし,"pronoun; synonym, classic example, pattern, byword, representative"
形容詞,けいようし,"(true) adjective, i-adjective"
固有名詞,こゆうめいし,proper noun
台詞,"せりふ, かはく","speech, words, one's lines, remarks"
動詞,どうし,verb
訳詞,やくし,translated text
名詞,めいし,noun
詞,"ことば, けとば","language, dialect; word, words, phrase, term, expression, remark; speech, (manner of) speaking"
柔軟,じゅうなん,"flexible, lithe, soft, pliable"
柔道,じゅうどう,judo
柔らかい,やわらかい,"soft, tender, limp"
柔らか,やわらか,"soft, tender, limp, subdued (colour or light) (color), gentle, meek"
柔和,にゅうわ,"gentleness, mildness, meekness"
優柔不断,ゆうじゅうふだん,"shilly-shally, indecisiveness"
懐柔,かいじゅう,conciliation
柔軟体操,じゅうなんたいそう,calisthenics
柔,やわ,"poorly-built, weak, insubstantial"
柔らかみ,やわらかみ,(touch of) softness
殿,どの,"form of address used for official letters and business letters, and in letters to inferiors, Mr"
殿下,"でんか, てんが","your Highness, his (or her) Highness"
宮殿,きゅうでん,palace
殿堂,でんどう,"palace, palatial building"
神殿,しんでん,"temple, sacred place"
殿様,とのさま,feudal lord
御殿,ごてん,"palace, court"
正殿,せいでん,"main temple, state chamber"
本殿,ほんでん,"main shrine, inner sanctuary"
妃殿下,ひでんか,"princess, Her Royal Highness"
濃度,のうど,"concentration, thickness, density; cardinality"
濃厚,のうこう,"density, richness, concentration, tension"
濃縮,のうしゅく,concentrated
濃淡,のうたん,"light and shade, shade (of colour, color)"
濃密,のうみつ,"thick, rich (as in taste or content); crowded"
濃い,こい,"deep (colour), dark; strong (flavour, smell, etc.); thick (consistency), dense; strong (possibility, etc.); thick (i.e. ""as thick as thieves""), close, deep (love, etc.)"
濃霧,のうむ,"heavy fog, dense fog, thick fog"
濃紺,のうこん,dark blue
濃,こ,"dark, thick"
濃やか,こまやか,"friendly, heartfelt, tender"
肩,かた,shoulder
肩書,かたがき,"title, degree, address (on letter), criminal record"
肩代わり,かたがわり,shouldering another's debt
肩身,かたみ,shoulders
肩たたき,かたたたき,shoulder massage (performed by tapotement); tap on the shoulder (request to resign)
強肩,きょうけん,strong throwing arm
肩透かし,かたすかし,"dodging, parrying (questions); under-shoulder swing down (sumo)"
肩入れ,かたいれ,"support, backing, patronage"
路肩,"ろかた, ろけん","shoulder of a road, berm"
肩をすくめる,かたをすくめる,to shrug one's shoulders
机,"つくえ, つき",desk
机上,きじょう,"on the desk; theoretical, academic"
机上の空論,きじょうのくうろん,"academic gossip, empty theory"
事務机,じむづくえ,clerical desk
書き物机,かきものづくえ,writing desk
折り畳み机,おりたたみつくえ,folding desk
片袖机,"かたそでづくえ, かたそでつくえ",desk with a tier of drawers on one side
床机,しょうぎ,"camp stool, folding stool"
机下,きか,word of respect added to the addressee's name on a letter; under the desk
机辺,きへん,near a desk
零時,れいじ,12 o'clock (midnight)
零細,れいさい,"insignificant, trifling, paltry, paltry, cottage (industry), tiny (company)"
零,れい,"zero, nought"
零敗,れいはい,"going undefeated, losing without scoring a point, whitewash, being shut out"
零下,れいか,"below zero, sub-zero"
零す,こぼす,to spill; to grumble
零れる,こぼれる,"to spill, to fall out of, to overflow; to peek through, to become visible (although normally not); to escape (of a smile, tear, etc.)"
お零れ,おこぼれ,"leavings, leftovers"
零し,こぼし,"spilling, grumbling; waste-water container (tea ceremony)"
零点,れいてん,"zero, no marks"
怒り,いかり,"anger, hatred, rage, wrath"
怒る,"おこる, いかる","to get angry, to get mad; to tell someone off, to scold; to be angular, to be square"
怒らせる,"おこらせる, いからせる","to anger someone, to provoke, to offend someone, to make somebody's hackles rise; to square one's shoulders"
激怒,げきど,"rage, indignation, exasperation"
怒鳴り込む,どなりこむ,to storm in with a yell
怒鳴る,どなる,"to shout, to yell"
怒号,どごう,"angry roar, bellow"
喜怒哀楽,きどあいらく,"human emotions (joy, anger, pathos, and humor) (humour)"
怒声,どせい,"angry voice, harsh words"
かんかん怒る,かんかんおこる,to get very mad
宿泊,しゅくはく,lodging
泊まり,とまり,"stay, stopover, anchorage, night duty"
停泊,ていはく,"anchorage, moorings"
淡泊,たんぱく,"light (color, colour, taste), simple, plain; frank, candid, ingenuous, indifferent"
一泊,いっぱく,stopping one night
泊まる,とまる,"to stay at (e.g. hotel); to be docked, to be berthed, to be moored"
寝泊まり,ねとまり,staying or lodging at
泊,はく,counter for nights of a stay
泊める,とめる,"to give shelter to, to lodge"
漂泊,ひょうはく,"roaming, drifting about, wandering"
杯,"さかずき, うき","sake cup, cup for alcoholic beverages"
一杯,いっぱい,"cup of ..., drink; full; to the utmost, up to (one's income), (a) lot of, much"
満杯,まんぱい,full
乾杯,かんぱい,"toast, drink (in celebration or in honor of something); drinking one's glass dry; cheers"
賜杯,しはい,"Emperor's cup, trophy given by the Emperor"
駆け付け三杯,かけつけさんばい,three cups of sake which latecomers to a party are made to drink
苦杯,くはい,bitter experience (ordeal)
祝杯,しゅくはい,"toast, congratulatory cup"
杯,"はい, はた","sake cup, cup for alcoholic beverages; counter for cupfuls; counter for ships, octopuses and squid"
杯,つき,shallow bowl
甘い,あまい,"sweet, delicious; fragrant (smelling), sweet (music); lightly salted; naive, overly optimistic, soft on, generous, indulgent, easy-going; half-hearted, not finished properly; tempting (e.g. words), promising"
甘え,あまえ,depending on other's kindness
甘み,"あまみ, かんみ, うまみ","sweetness, sugary taste"
甘える,あまえる,"to behave like a spoiled child, to behave like a spoilt child, to fawn on; to depend and presume upon another's benevolence"
